Frame_Trial1;YPosition_Trial1;Normalized_Trial1;Frame_Trial2;YPosition_Trial2;Normalized_Trial2;Frame_Trial3;YPosition_Trial3;Normalized_Trial3
-15;-316.4520867633819;0.962156;1;-280.26490573100943;0.994184;7;-273.2554173885674;0.945452
-14;-316.3829292354582;0.967802;2;-273.5115587032309;1.0;8;-273.79583293784566;0.95053
-13;-316.21521182441705;0.965169;3;-271.55661353092086;0.993252;9;-273.1534120184274;0.959959
-12;-315.92378472518914;0.970286;4;-275.1706609619131;0.968035;10;-273.1830502077432;0.945365
-11;-316.02063201141345;0.944009;5;-275.63439827518357;0.948336;11;-271.51875853408285;0.912757
-10;-316.4794162216186;0.941728;6;-276.00975792579555;0.947052;12;-271.82006998122654;0.903474
-9;-317.22437254142756;0.960281;7;-277.0716410329809;0.957914;13;-271.56307558215576;0.898492
-8;-317.68117421722405;0.976145;8;-276.89416693572895;0.959789;14;-271.57008524287653;0.892512
-7;-318.21187113189694;0.98378;9;-276.5908826587667;0.955527;15;-271.386106661448;0.894722
-6;-316.7771175498961;0.980525;10;-276.7653183982839;0.970002;16;-271.6760952841134;0.894491
-5;-319.1687872066497;1.0;11;-277.13754784660244;0.966684;17;-272.08828926909877;0.920898
-4;-319.3834827060699;0.995523;12;-276.0902349822988;0.979684;18;-272.9615098453851;0.943546
-3;-318.86905072975156;;13;-275.2147951591482;;19;-273.3012491966577;
-2;-310.88467183685293;;14;-274.76049000625505;;20;-273.3219668337198;
-1;-303.8495023870467;;15;-274.4333822858801;;21;-273.6176441141457;
0;-290.47910787963866;;16;-273.8009276512136;;22;-273.4920956178994;
1;-283.83513040065753;;17;-273.8263119743338;;23;-272.91184337390376;
2;-277.62297307205193;;18;-273.7550977142324;;24;-272.8477600962014;
3;-277.5414260988235;;19;-273.709799455451;;25;-272.6152707935662;
4;-275.81772441101066;;20;-273.59829118614095;;26;-272.5196472927423;
5;-275.529296851158;;21;-273.70743666820425;;27;-272.00877510989613;
6;-274.5899376726151;;22;-273.25970920162104;;28;-271.67505781711054;
7;-276.21280722999563;;23;-271.68054770355127;;29;-271.0821570593209;
8;-275.4337138051987;;24;-271.33460330848595;;30;-270.61535144484947;
9;-276.14819409656513;;25;-271.48395425109754;;31;-270.1667633882852;
10;-275.51186820602413;;26;-271.7244995334616;;32;-268.6806004225106;
11;-276.32444518947597;;27;-271.76492145614515;;33;-268.79098880160757;
12;-276.39037283420555;;28;-272.02451347236536;;34;-269.1776050468774;
13;-275.89826160335537;;29;-272.0305327413549;;35;-269.8455419823021;
14;-275.4135793962477;;30;-272.1064528863896;;36;-270.3011387497277;
15;-277.0799340791702;;31;-271.92972490100766;;37;-270.4651234270425;
16;-277.9581775016784;;32;-271.9009861486425;;38;-270.69806556666805;
17;-277.5980666913986;;33;-271.8883932760229;;39;-270.70590836871577;
18;-278.2297909898757;;34;-271.59645746402646;;40;-270.3668428140969;
19;-278.45264352893827;;35;-271.51267711048024;;41;-270.054990050921;
20;-278.05251014614106;;36;-271.5579678590764;;42;-270.1222138363214;
21;-277.5122627763747;;37;-271.34254053573505;;43;-270.26822961009447;
